aggregate_id,category,canonical_name,name,name_type,match_type
pref_aggregate,都道府県,都道府県（集合）,都道府県（集合）,canonical,exact
pref_aggregate,都道府県,都道府県（集合）,その他の県,alias,exact
pref_aggregate,都道府県,都道府県（集合）,その他都道府県,alias,exact
pref_aggregate,都道府県,都道府県（集合）,その他道府県,alias,exact
pref_aggregate,都道府県,都道府県（集合）,その他の都道府県等,alias,exact
pref_aggregate,都道府県,都道府県（集合）,その他の都府県,alias,exact
pref_aggregate,都道府県,都道府県（集合）,その他の都道府県,alias,exact
pref_aggregate,都道府県,都道府県（集合）,その他府県,alias,exact
pref_aggregate,都道府県,都道府県（集合）,その他[0-9]+(県|都道府県|道府県|府県),alias,regex
muni_aggregate,市区町村,市区町村（集合）,市区町村（集合）,canonical,exact
muni_aggregate,市区町村,市区町村（集合）,その他の市区町村,alias,exact
muni_aggregate,市区町村,市区町村（集合）,その他市区町村等,alias,exact
muni_aggregate,市区町村,市区町村（集合）,その他の市町村(保険者),alias,exact
muni_aggregate,市区町村,市区町村（集合）,その他市町村,alias,exact
muni_aggregate,市区町村,市区町村（集合）,その他指定都市,alias,exact
muni_aggregate,市区町村,市区町村（集合）,その他[0-9]+市町村,alias,regex
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,地方公共団体（都道府県・市区町村集合）,canonical,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他都道府県・市及び福祉事務所を設置する町村,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他都道府県・市・福祉事務所設置町村,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他地方公共団体,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他自治体,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他都道府県、市、福祉事務所を設置する町村,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他都道府県・市町村,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他地方自治体,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他(都道府県、保健所設置市、特別区),alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他都道府県・指定都市,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,その他自治体\([0-9]+\),alias,regex
rodo_kyoku_agg,行政機関,労働局（集合）,労働局（集合）,canonical,exact
rodo_kyoku_agg,行政機関,労働局（集合）,その他労働局,alias,exact
rodo_kyoku_agg,行政機関,労働局（集合）,その他の労働局,alias,exact
rodo_kyoku_agg,行政機関,労働局（集合）,その他都道府県労働局,alias,exact
rodo_kyoku_agg,行政機関,労働局（集合）,その他の都道府県労働局,alias,exact
rodo_kyoku_agg,行政機関,労働局（集合）,その他都道府県労働局合計,alias,exact
rodo_kyoku_agg,行政機関,労働局（集合）,その他[0-9]+(都道府県)?労働局,alias,regex
rodo_kyoku_agg,行政機関,労働局（集合）,その他労働局\([0-9]+局\),alias,regex
intl_org_agg,国際機関,国際機関（集合）,国際機関（集合）,canonical,exact
intl_org_agg,国際機関,国際機関（集合）,その他国際機関,alias,exact
local_gov_simple,地方公共団体,地方公共団体（集合）,地方公共団体,alias,exact
local_gov_simple,地方公共団体,地方公共団体（集合）,^地方公共団体[\(（\[],alias,regex
local_gov_hoka,地方公共団体,地方公共団体（集合）,(?:都|道|府|県|市|区|町|村)ほか$,alias,regex
gov_agency_agg,行政機関,行政機関（集合）,局ほか[0-9]+件,alias,regex
gov_agency_agg,行政機関,行政機関（集合）,本部等\([0-9]+機関\),alias,regex
gov_agency_agg,行政機関,行政機関（集合）,各経済産業局及び沖縄総合事務局,alias,exact
gov_agency_agg,行政機関,行政機関（集合）,資源エネルギー庁、地方経済産業局8局,alias,exact
gov_agency_agg,行政機関,行政機関（集合）,資源エネルギー庁、地方経済産業局8局、経済産業本省、沖縄総合事務局,alias,exact
pref_aggregate,都道府県,都道府県（集合）,都道府県,alias,exact
pref_aggregate,都道府県,都道府県（集合）,各都道府県,alias,exact
pref_aggregate,都道府県,都道府県（集合）,各都道府県等,alias,exact
pref_aggregate,都道府県,都道府県（集合）,都道府県等,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,都道府県が適当と認めた団体,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,都道府県・市(特別区含む),alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,地方自治体,alias,exact
local_gov_mixed,地方公共団体,地方公共団体（都道府県・市区町村集合）,地方自治体等,alias,exact
beneficiary_agg,受益者,中小企業者,中小企業者,alias,exact
muni_agg_n,市区町村,市区町村（集合）,[0-9]+市町村等,alias,regex
pref_agg_soto,都道府県,都道府県（集合）,外[0-9]+府県,alias,regex
local_agg_dantai,地方公共団体,地方公共団体（集合）,その他\([0-9]+団体\),alias,regex
pref_agg_ken,都道府県,都道府県（集合）,その他\([0-9]+県\),alias,regex
pref_agg_shiga,都道府県,都道府県（集合）,滋賀県その他,alias,exact
pref_agg_gunma,都道府県,都道府県（集合）,群馬県他[0-9]+県,alias,regex
muni_agg_yaku,市区町村,市区町村（集合）,市区町村\(約[0-9]+市町村\),alias,regex
travel_support_office,地方公共団体,地方公共団体（集合）,全国旅行支援群馬県事務局,alias,exact
