pref_code,prefecture_name,canonical_name,name,name_type
24,三重県,いなべ市,いなべ市,canonical
24,三重県,三重郡川越町,三重郡川越町,canonical
24,三重県,三重郡川越町,川越町,alias
24,三重県,三重郡朝日町,三重郡朝日町,canonical
24,三重県,三重郡朝日町,朝日町,alias
24,三重県,三重郡菰野町,三重郡菰野町,canonical
24,三重県,三重郡菰野町,菰野町,alias
24,三重県,亀山市,亀山市,canonical
24,三重県,伊勢市,伊勢市,canonical
24,三重県,伊賀市,伊賀市,canonical
24,三重県,北牟婁郡紀北町,北牟婁郡紀北町,canonical
24,三重県,北牟婁郡紀北町,紀北町,alias
24,三重県,南牟婁郡御浜町,南牟婁郡御浜町,canonical
24,三重県,南牟婁郡御浜町,御浜町,alias
24,三重県,南牟婁郡紀宝町,南牟婁郡紀宝町,canonical
24,三重県,南牟婁郡紀宝町,紀宝町,alias
24,三重県,名張市,名張市,canonical
24,三重県,員弁郡東員町,員弁郡東員町,canonical
24,三重県,員弁郡東員町,東員町,alias
24,三重県,四日市市,四日市市,canonical
24,三重県,多気郡多気町,多気郡多気町,canonical
24,三重県,多気郡多気町,多気町,alias
24,三重県,多気郡大台町,多気郡大台町,canonical
24,三重県,多気郡大台町,大台町,alias
24,三重県,多気郡明和町,多気郡明和町,canonical
24,三重県,多気郡明和町,明和町,alias
24,三重県,尾鷲市,尾鷲市,canonical
24,三重県,度会郡南伊勢町,度会郡南伊勢町,canonical
24,三重県,度会郡南伊勢町,南伊勢町,alias
24,三重県,度会郡大紀町,度会郡大紀町,canonical
24,三重県,度会郡大紀町,大紀町,alias
24,三重県,度会郡度会町,度会郡度会町,canonical
24,三重県,度会郡度会町,度会町,alias
24,三重県,度会郡玉城町,度会郡玉城町,canonical
24,三重県,度会郡玉城町,玉城町,alias
24,三重県,志摩市,志摩市,canonical
24,三重県,松阪市,松阪市,canonical
24,三重県,桑名市,桑名市,canonical
24,三重県,桑名郡木曽岬町,桑名郡木曽岬町,canonical
24,三重県,桑名郡木曽岬町,木曽岬町,alias
24,三重県,津市,津市,canonical
24,三重県,熊野市,熊野市,canonical
24,三重県,鈴鹿市,鈴鹿市,canonical
24,三重県,鳥羽市,鳥羽市,canonical
26,京都府,与謝郡与謝野町,与謝郡与謝野町,canonical
26,京都府,与謝郡与謝野町,与謝野町,alias
26,京都府,与謝郡伊根町,与謝郡伊根町,canonical
26,京都府,与謝郡伊根町,伊根町,alias
26,京都府,久世郡久御山町,久世郡久御山町,canonical
26,京都府,久世郡久御山町,久御山町,alias
26,京都府,乙訓郡大山崎町,乙訓郡大山崎町,canonical
26,京都府,乙訓郡大山崎町,大山崎町,alias
26,京都府,亀岡市,亀岡市,canonical
26,京都府,京丹後市,京丹後市,canonical
26,京都府,京田辺市,京田辺市,canonical
26,京都府,京都市上京区,京都市上京区,canonical
26,京都府,京都市下京区,京都市下京区,canonical
26,京都府,京都市中京区,京都市中京区,canonical
26,京都府,京都市伏見区,京都市伏見区,canonical
26,京都府,京都市北区,京都市北区,canonical
26,京都府,京都市南区,京都市南区,canonical
26,京都府,京都市右京区,京都市右京区,canonical
26,京都府,京都市山科区,京都市山科区,canonical
26,京都府,京都市左京区,京都市左京区,canonical
26,京都府,京都市東山区,京都市東山区,canonical
26,京都府,京都市西京区,京都市西京区,canonical
26,京都府,八幡市,八幡市,canonical
26,京都府,南丹市,南丹市,canonical
26,京都府,向日市,向日市,canonical
26,京都府,城陽市,城陽市,canonical
26,京都府,宇治市,宇治市,canonical
26,京都府,宮津市,宮津市,canonical
26,京都府,木津川市,木津川市,canonical
26,京都府,相楽郡南山城村,相楽郡南山城村,canonical
26,京都府,相楽郡南山城村,南山城村,alias
26,京都府,相楽郡和束町,相楽郡和束町,canonical
26,京都府,相楽郡和束町,和束町,alias
26,京都府,相楽郡笠置町,相楽郡笠置町,canonical
26,京都府,相楽郡笠置町,笠置町,alias
26,京都府,相楽郡精華町,相楽郡精華町,canonical
26,京都府,相楽郡精華町,精華町,alias
26,京都府,福知山市,福知山市,canonical
26,京都府,綴喜郡井手町,綴喜郡井手町,canonical
26,京都府,綴喜郡井手町,井手町,alias
26,京都府,綴喜郡宇治田原町,綴喜郡宇治田原町,canonical
26,京都府,綴喜郡宇治田原町,宇治田原町,alias
26,京都府,綾部市,綾部市,canonical
26,京都府,舞鶴市,舞鶴市,canonical
26,京都府,船井郡京丹波町,船井郡京丹波町,canonical
26,京都府,船井郡京丹波町,京丹波町,alias
26,京都府,長岡京市,長岡京市,canonical
41,佐賀県,三養基郡みやき町,三養基郡みやき町,canonical
41,佐賀県,三養基郡みやき町,みやき町,alias
41,佐賀県,三養基郡上峰町,三養基郡上峰町,canonical
41,佐賀県,三養基郡上峰町,上峰町,alias
41,佐賀県,三養基郡基山町,三養基郡基山町,canonical
41,佐賀県,三養基郡基山町,基山町,alias
41,佐賀県,伊万里市,伊万里市,canonical
41,佐賀県,佐賀市,佐賀市,canonical
41,佐賀県,唐津市,唐津市,canonical
41,佐賀県,多久市,多久市,canonical
41,佐賀県,嬉野市,嬉野市,canonical
41,佐賀県,小城市,小城市,canonical
41,佐賀県,東松浦郡玄海町,東松浦郡玄海町,canonical
41,佐賀県,東松浦郡玄海町,玄海町,alias
41,佐賀県,杵島郡大町町,杵島郡大町町,canonical
41,佐賀県,杵島郡大町町,大町町,alias
41,佐賀県,杵島郡江北町,杵島郡江北町,canonical
41,佐賀県,杵島郡江北町,江北町,alias
41,佐賀県,杵島郡白石町,杵島郡白石町,canonical
41,佐賀県,杵島郡白石町,白石町,alias
41,佐賀県,武雄市,武雄市,canonical
41,佐賀県,神埼市,神埼市,canonical
41,佐賀県,神埼郡吉野ヶ里町,神埼郡吉野ヶ里町,canonical
41,佐賀県,神埼郡吉野ヶ里町,吉野ヶ里町,alias
41,佐賀県,藤津郡太良町,藤津郡太良町,canonical
41,佐賀県,藤津郡太良町,太良町,alias
41,佐賀県,西松浦郡有田町,西松浦郡有田町,canonical
41,佐賀県,西松浦郡有田町,有田町,alias
41,佐賀県,鳥栖市,鳥栖市,canonical
41,佐賀県,鹿島市,鹿島市,canonical
