name,agency_type,parent_name,parent_cn,ministry,prefecture,municipality,note
豊田市農業委員会,municipal_committee,豊田市,5000020232114,農林水産省,愛知県,豊田市,農業委員会
貝塚市農業委員会,municipal_committee,貝塚市,4000020272086,農林水産省,大阪府,貝塚市,農業委員会
農村振興局,field_office,農林水産省,5000012080001,農林水産省,,,農林水産省の地方機関
農林水産省中国四国農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
農林水産省九州農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
農林水産省北海道農政事務所,field_office,農林水産省,5000012080001,農林水産省,,,農林水産省の地方機関
農林水産省北陸農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
農林水産省東北農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
農林水産省東海農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
農林水産省近畿農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
農林水産省関東農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
近畿中国森林管理局,field_office,林野庁,4000012080002,農林水産省,,,森林管理局
近畿中部防衛局,field_office,防衛省,9000012120001,防衛省,,,防衛局
近畿公安調査局,field_office,,,法務省,,,公安調査局
近畿厚生局,field_office,厚生労働省,6000012070001,厚生労働省,,,厚生局
近畿地方整備局,field_office,国土交通省,2000012100001,国土交通省,,,地方整備局
近畿管区警察学校,field_office,警察庁,8000012130001,警察庁,,,警察庁の地方機関
近畿管区警察局,field_office,警察庁,8000012130001,警察庁,,,管区警察局
近畿経済産業局,field_office,,,経済産業省,,,経済産業局
近畿総合通信局,field_office,,,総務省,,,総合通信局
近畿財務局,field_office,財務省,8000012050001,財務省,,,財務省の地方機関
近畿農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
近畿運輸局,field_office,国土交通省,2000012100001,国土交通省,,,運輸局
道前平野農地整備事業所,field_office,農林水産省,5000012080001,農林水産省,,,農林水産省の地方機関
那覇地方法務局,field_office,法務省,1000012030001,法務省,,,法務局
那覇地方法務局名護支局,field_office,法務省,1000012030001,法務省,,,法務局
那覇地方法務局沖縄支局,field_office,法務省,1000012030001,法務省,,,法務局
那覇検疫所,field_office,厚生労働省,6000012070001,厚生労働省,,,厚生労働省の地方機関
那須町農業委員会,municipal_committee,那須町,8000020094072,農林水産省,栃木県,那須町,農業委員会
都城市農業委員会,municipal_committee,都城市,6000020452025,農林水産省,宮崎県,都城市,農業委員会
都道府県労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
釧路開発建設部,field_office,国土交通省,2000012100001,国土交通省,,,国土交通省の地方機関
長岡市農業委員会,municipal_committee,長岡市,7000020152021,農林水産省,新潟県,長岡市,農業委員会
長崎労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
長崎県教育委員会,prefectural_branch,長崎県,4000020420000,文部科学省,長崎県,,教育委員会
長崎県警察,prefectural_branch,長崎県,4000020420000,警察庁,長崎県,,都道府県警察
長野労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
長野地方法務局,field_office,,,法務省,,,法務局
長野県教育委員会,prefectural_branch,長野県,1000020200000,文部科学省,長野県,,教育委員会
長野県警察,prefectural_branch,長野県,1000020200000,警察庁,長野県,,都道府県警察
関東信越厚生局,field_office,厚生労働省,6000012070001,厚生労働省,,,厚生局
関東公安調査局,field_office,,,法務省,,,公安調査局
関東地方整備局,field_office,国土交通省,2000012100001,国土交通省,,,地方整備局
関東森林管理局,field_office,林野庁,4000012080002,農林水産省,,,森林管理局
関東管区警察学校,field_office,警察庁,8000012130001,警察庁,,,警察庁の地方機関
関東管区警察局,field_office,警察庁,8000012130001,警察庁,,,管区警察局
関東経済産業局,field_office,,,経済産業省,,,経済産業局
関東総合通信局,field_office,,,総務省,,,総合通信局
関東財務局,field_office,財務省,8000012050001,財務省,,,財務省の地方機関
関東農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
関東運輸局,field_office,国土交通省,2000012100001,国土交通省,,,運輸局
関西空港検疫所,field_office,厚生労働省,6000012070001,厚生労働省,,,厚生労働省の地方機関
防衛医科大学校,field_office,防衛省,9000012120001,防衛省,,,防衛省の地方機関
陸上自衛隊,field_office,防衛省,9000012120001,防衛省,,,防衛省の地方機関
陸上自衛隊北熊本駐屯地,field_office,防衛省,9000012120001,防衛省,,,防衛省の地方機関
雲仙市農業委員会,municipal_committee,雲仙市,7000020422134,農林水産省,長崎県,雲仙市,農業委員会
霧島市教育委員会,municipal_committee,霧島市,8000020462187,文部科学省,鹿児島県,霧島市,教育委員会
青森労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
青森県警察,prefectural_branch,青森県,2000020020001,警察庁,青森県,,都道府県警察
静岡労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
静岡地方法務局,field_office,,,法務省,,,法務局
静岡県教育委員会,prefectural_branch,静岡県,7000020220001,文部科学省,静岡県,,教育委員会
静岡県警察,prefectural_branch,静岡県,7000020220001,警察庁,静岡県,,都道府県警察
香川労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
香川県教育委員会,prefectural_branch,香川県,8000020370002,文部科学省,香川県,,教育委員会
香川県警察,prefectural_branch,香川県,8000020370002,警察庁,香川県,,都道府県警察
駅館川農地整備事業所,field_office,農林水産省,5000012080001,農林水産省,,,農林水産省の地方機関
高松出入国在留管理局,field_office,,,法務省,,,出入国在留管理局
高松法務局,field_office,,,法務省,,,法務局
高知労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
高知南国農地整備事業所,field_office,農林水産省,5000012080001,農林水産省,,,農林水産省の地方機関
高知地方法務局,field_office,,,法務省,,,法務局
高知県教育委員会,prefectural_branch,高知県,5000020390003,文部科学省,高知県,,教育委員会
高知県警察,prefectural_branch,高知県,5000020390003,警察庁,高知県,,都道府県警察
鳥取労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
鳥取県教育委員会,prefectural_branch,鳥取県,7000020310000,文部科学省,鳥取県,,教育委員会
鶴岡市農業委員会,municipal_committee,鶴岡市,6000020062031,農林水産省,山形県,鶴岡市,農業委員会
鹿児島労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
鹿児島地方法務局,field_office,,,法務省,,,法務局
鹿児島県教育委員会,prefectural_branch,鹿児島県,8000020460001,文部科学省,鹿児島県,,教育委員会
鹿児島県警察,prefectural_branch,鹿児島県,8000020460001,警察庁,鹿児島県,,都道府県警察
麹町税務署,field_office,国税庁,7000012050002,財務省,,,国税庁の地方機関
