name,match_type,l2
# ── 労働局 ──────────────────────────────────────────────────────
労働局,exact,労働局
都道府県労働局,exact,労働局
三重労働局,exact,労働局
京都労働局,exact,労働局
佐賀労働局,exact,労働局
兵庫労働局,exact,労働局
北海道労働局,exact,労働局
千葉労働局,exact,労働局
厚生労働省沖縄労働局,exact,労働局
和歌山労働局,exact,労働局
埼玉労働局,exact,労働局
大分労働局,exact,労働局
大阪労働局,exact,労働局
奈良労働局,exact,労働局
宮城労働局,exact,労働局
宮崎労働局,exact,労働局
富山労働局,exact,労働局
山口労働局,exact,労働局
山形労働局,exact,労働局
山梨労働局,exact,労働局
岐阜労働局,exact,労働局
岡山労働局,exact,労働局
岩手労働局,exact,労働局
島根労働局,exact,労働局
広島労働局,exact,労働局
徳島労働局,exact,労働局
愛媛労働局,exact,労働局
愛知労働局,exact,労働局
新潟労働局,exact,労働局
東京労働局,exact,労働局
栃木労働局,exact,労働局
沖縄労働局,exact,労働局
滋賀労働局,exact,労働局
熊本労働局,exact,労働局
石川労働局,exact,労働局
神奈川労働局,exact,労働局
福井労働局,exact,労働局
福岡労働局,exact,労働局
福島労働局,exact,労働局
秋田労働局,exact,労働局
群馬労働局,exact,労働局
茨城労働局,exact,労働局
長崎労働局,exact,労働局
長野労働局,exact,労働局
青森労働局,exact,労働局
静岡労働局,exact,労働局
香川労働局,exact,労働局
高知労働局,exact,労働局
鳥取労働局,exact,労働局
鹿児島労働局,exact,労働局
# ── 法務局 ──────────────────────────────────────────────────────
さいたま地方法務局,exact,法務局
京都地方法務局,exact,法務局
仙台法務局,exact,法務局
前橋地方法務局,exact,法務局
千葉地方法務局,exact,法務局
名古屋法務局,exact,法務局
大阪法務局,exact,法務局
奈良地方法務局,exact,法務局
宇都宮地方法務局,exact,法務局
山口地方法務局,exact,法務局
岐阜地方法務局,exact,法務局
岡山地方法務局,exact,法務局
広島法務局,exact,法務局
新潟地方法務局,exact,法務局
札幌法務局,exact,法務局
東京法務局,exact,法務局
横浜地方法務局,exact,法務局
津地方法務局,exact,法務局
熊本地方法務局,exact,法務局
盛岡地方法務局,exact,法務局
神戸地方法務局,exact,法務局
福井地方法務局,exact,法務局
福岡法務局,exact,法務局
福島地方法務局,exact,法務局
那覇地方法務局,exact,法務局
那覇地方法務局名護支局,exact,法務局
那覇地方法務局沖縄支局,exact,法務局
長野地方法務局,exact,法務局
静岡地方法務局,exact,法務局
高松法務局,exact,法務局
高知地方法務局,exact,法務局
鹿児島地方法務局,exact,法務局
# ── 地方整備局 ───────────────────────────────────────────────────
中国地方整備局,exact,地方整備局
中部地方整備局,exact,地方整備局
九州地方整備局,exact,地方整備局
北陸地方整備局,exact,地方整備局
四国地方整備局,exact,地方整備局
国土交通省中部地方整備局,exact,地方整備局
国土交通省関東地方整備局,exact,地方整備局
地方整備局,exact,地方整備局
地方整備局等(支出委任),exact,地方整備局
東北地方整備局,exact,地方整備局
近畿地方整備局,exact,地方整備局
関東地方整備局,exact,地方整備局
# ── 農政局 ───────────────────────────────────────────────────────
中四国農政局,exact,農政局
中国四国農政局,exact,農政局
九州農政局,exact,農政局
北陸農政局,exact,農政局
地方農政局,exact,農政局
地方農政局等,exact,農政局
東北農政局,exact,農政局
東海農政局,exact,農政局
農林水産省中国四国農政局,exact,農政局
農林水産省九州農政局,exact,農政局
農林水産省北陸農政局,exact,農政局
農林水産省東北農政局,exact,農政局
農林水産省東海農政局,exact,農政局
農林水産省近畿農政局,exact,農政局
農林水産省関東農政局,exact,農政局
近畿農政局,exact,農政局
関東農政局,exact,農政局
# ── 運輸局 ───────────────────────────────────────────────────────
中国運輸局,exact,運輸局
中部運輸局,exact,運輸局
九州運輸局,exact,運輸局
北海道運輸局,exact,運輸局
北陸信越運輸局,exact,運輸局
四国運輸局,exact,運輸局
東北運輸局,exact,運輸局
近畿運輸局,exact,運輸局
関東運輸局,exact,運輸局
# ── 経済産業局 ──────────────────────────────────────────────────
中国経済産業局,exact,経済産業局
中部経済産業局,exact,経済産業局
九州経済産業局,exact,経済産業局
北海道経済産業局,exact,経済産業局
四国経済産業局,exact,経済産業局
東北経済産業局,exact,経済産業局
経済産業省東北経済産業局,exact,経済産業局
近畿経済産業局,exact,経済産業局
関東経済産業局,exact,経済産業局
# ── 管区警察局 ──────────────────────────────────────────────────
中国四国管区警察局,exact,管区警察局
中国四国管区警察局四国警察支局,exact,管区警察局
中部管区警察局,exact,管区警察局
九州管区警察局,exact,管区警察局
九州管区警察局警察学校,exact,管区警察局
四国警察支局,exact,管区警察局
東北管区警察局,exact,管区警察局
近畿管区警察局,exact,管区警察局
関東管区警察局,exact,管区警察局
# ── 厚生局 ───────────────────────────────────────────────────────
中国四国厚生局,exact,厚生局
中国四国厚生局(四国厚生支局分を除く),exact,厚生局
九州厚生局,exact,厚生局
九州厚生局沖縄分室,exact,厚生局
九州厚生局沖縄支所,exact,厚生局
北海道厚生局,exact,厚生局
四国厚生局,exact,厚生局
四国厚生支局,exact,厚生局
東北厚生局,exact,厚生局
東海北陸厚生局,exact,厚生局
近畿厚生局,exact,厚生局
関東信越厚生局,exact,厚生局
# ── 公安調査局 ──────────────────────────────────────────────────
中国公安調査局,exact,公安調査局
中部公安調査局,exact,公安調査局
九州公安調査局,exact,公安調査局
北海道公安調査局,exact,公安調査局
