name,match_type,l2
四国公安調査局,exact,公安調査局
東北公安調査局,exact,公安調査局
近畿公安調査局,exact,公安調査局
関東公安調査局,exact,公安調査局
# ── 防衛局 ───────────────────────────────────────────────────────
中国四国防衛局,exact,防衛局
九州防衛局,exact,防衛局
北海道防衛局,exact,防衛局
北関東防衛局,exact,防衛局
南関東防衛局,exact,防衛局
帯広防衛支局,exact,防衛局
東北防衛局,exact,防衛局
東海防衛支局,exact,防衛局
沖縄防衛局,exact,防衛局
熊本防衛支局,exact,防衛局
近畿中部防衛局,exact,防衛局
# ── 森林管理局 ──────────────────────────────────────────────────
中部森林管理局,exact,森林管理局
九州森林管理局,exact,森林管理局
北海道森林管理局,exact,森林管理局
四国森林管理局,exact,森林管理局
東北森林管理局,exact,森林管理局
林野庁(中部森林管理局),exact,森林管理局
林野庁(九州森林管理局),exact,森林管理局
林野庁(北海道森林管理局),exact,森林管理局
林野庁(四国森林管理局),exact,森林管理局
林野庁(東北森林管理局),exact,森林管理局
林野庁(近畿中国森林管理局),exact,森林管理局
林野庁(関東森林管理局),exact,森林管理局
近畿中国森林管理局,exact,森林管理局
関東森林管理局,exact,森林管理局
# ── 出入国在留管理局 ─────────────────────────────────────────────
仙台出入国在留管理局,exact,出入国在留管理局
名古屋出入国在留管理局,exact,出入国在留管理局
大阪出入国在留管理局,exact,出入国在留管理局
広島出入国在留管理局,exact,出入国在留管理局
札幌出入国在留管理局,exact,出入国在留管理局
東京出入国在留管理局,exact,出入国在留管理局
福岡出入国在留管理局,exact,出入国在留管理局
高松出入国在留管理局,exact,出入国在留管理局
# ── 総合通信局 ──────────────────────────────────────────────────
北海道総合通信局,exact,総合通信局
北陸総合通信局,exact,総合通信局
東海総合通信局,exact,総合通信局
近畿総合通信局,exact,総合通信局
関東総合通信局,exact,総合通信局
# ── 航空局 ───────────────────────────────────────────────────────
国土交通省大阪航空局,exact,航空局
国土交通省東京航空局,exact,航空局
国土交通省航空局,exact,航空局
大阪航空局,exact,航空局
東京航空局,exact,航空局
# ── 国税局 ───────────────────────────────────────────────────────
名古屋国税局,exact,国税局
東京国税局,exact,国税局
# ── 開発局 ───────────────────────────────────────────────────────
北海道開発局,exact,開発局
