ministry,category,bureau,bureau_alias,section,expanded_from
厚生労働省,地方支分部局,北海道労働局,,,
厚生労働省,地方支分部局,青森労働局,,,
厚生労働省,地方支分部局,岩手労働局,,,
厚生労働省,地方支分部局,宮城労働局,,,
厚生労働省,地方支分部局,秋田労働局,,,
厚生労働省,地方支分部局,山形労働局,,,
厚生労働省,地方支分部局,福島労働局,,,
厚生労働省,地方支分部局,茨城労働局,,,
厚生労働省,地方支分部局,栃木労働局,,,
厚生労働省,地方支分部局,群馬労働局,,,
厚生労働省,地方支分部局,埼玉労働局,,,
厚生労働省,地方支分部局,千葉労働局,,,
厚生労働省,地方支分部局,東京労働局,,,
厚生労働省,地方支分部局,神奈川労働局,,,
厚生労働省,地方支分部局,新潟労働局,,,
厚生労働省,地方支分部局,富山労働局,,,
厚生労働省,地方支分部局,石川労働局,,,
厚生労働省,地方支分部局,福井労働局,,,
厚生労働省,地方支分部局,山梨労働局,,,
厚生労働省,地方支分部局,長野労働局,,,
厚生労働省,地方支分部局,岐阜労働局,,,
厚生労働省,地方支分部局,静岡労働局,,,
厚生労働省,地方支分部局,愛知労働局,,,
厚生労働省,地方支分部局,三重労働局,,,
厚生労働省,地方支分部局,滋賀労働局,,,
厚生労働省,地方支分部局,京都労働局,,,
厚生労働省,地方支分部局,大阪労働局,,,
厚生労働省,地方支分部局,兵庫労働局,,,
厚生労働省,地方支分部局,奈良労働局,,,
厚生労働省,地方支分部局,和歌山労働局,,,
厚生労働省,地方支分部局,鳥取労働局,,,
厚生労働省,地方支分部局,島根労働局,,,
厚生労働省,地方支分部局,岡山労働局,,,
厚生労働省,地方支分部局,広島労働局,,,
厚生労働省,地方支分部局,山口労働局,,,
厚生労働省,地方支分部局,徳島労働局,,,
厚生労働省,地方支分部局,香川労働局,,,
厚生労働省,地方支分部局,愛媛労働局,,,
厚生労働省,地方支分部局,高知労働局,,,
厚生労働省,地方支分部局,福岡労働局,,,
厚生労働省,地方支分部局,佐賀労働局,,,
厚生労働省,地方支分部局,長崎労働局,,,
厚生労働省,地方支分部局,熊本労働局,,,
厚生労働省,地方支分部局,大分労働局,,,
厚生労働省,地方支分部局,宮崎労働局,,,
厚生労働省,地方支分部局,鹿児島労働局,,,
厚生労働省,地方支分部局,沖縄労働局,厚生労働省沖縄労働局,,
厚生労働省,地方支分部局,都道府県労働局,,,
農林水産省,地方支分部局,北海道農政事務所,農林水産省北海道農政事務所,,
農林水産省,地方支分部局,東北農政局,農林水産省東北農政局,,
農林水産省,地方支分部局,関東農政局,農林水産省関東農政局,,
農林水産省,地方支分部局,北陸農政局,農林水産省北陸農政局,,
農林水産省,地方支分部局,東海農政局,農林水産省東海農政局,,
農林水産省,地方支分部局,近畿農政局,農林水産省近畿農政局,,
農林水産省,地方支分部局,中国四国農政局,農林水産省中国四国農政局,,
農林水産省,地方支分部局,九州農政局,農林水産省九州農政局,,
農林水産省,地方支分部局,北海道森林管理局,林野庁(北海道森林管理局),,林野庁
農林水産省,地方支分部局,東北森林管理局,林野庁(東北森林管理局),,林野庁
農林水産省,地方支分部局,関東森林管理局,林野庁(関東森林管理局),,林野庁
農林水産省,地方支分部局,中部森林管理局,林野庁(中部森林管理局),,林野庁
農林水産省,地方支分部局,近畿中国森林管理局,林野庁(近畿中国森林管理局),,林野庁
農林水産省,地方支分部局,四国森林管理局,林野庁(四国森林管理局),,林野庁
農林水産省,地方支分部局,九州森林管理局,林野庁(九州森林管理局),,林野庁
法務省,地方支分部局,札幌地方検察庁,,,
法務省,地方支分部局,函館地方検察庁,,,
法務省,地方支分部局,旭川地方検察庁,,,
法務省,地方支分部局,釧路地方検察庁,,,
法務省,地方支分部局,仙台地方検察庁,,,
法務省,地方支分部局,盛岡地方検察庁,,,
法務省,地方支分部局,秋田地方検察庁,,,
法務省,地方支分部局,山形地方検察庁,,,
法務省,地方支分部局,福島地方検察庁,,,
法務省,地方支分部局,東京地方検察庁,,,
法務省,地方支分部局,横浜地方検察庁,,,
法務省,地方支分部局,さいたま地方検察庁,,,
法務省,地方支分部局,千葉地方検察庁,,,
法務省,地方支分部局,水戸地方検察庁,,,
法務省,地方支分部局,宇都宮地方検察庁,,,
法務省,地方支分部局,前橋地方検察庁,,,
法務省,地方支分部局,甲府地方検察庁,,,
法務省,地方支分部局,長野地方検察庁,,,
法務省,地方支分部局,静岡地方検察庁,,,
法務省,地方支分部局,名古屋地方検察庁,,,
法務省,地方支分部局,津地方検察庁,,,
法務省,地方支分部局,岐阜地方検察庁,,,
法務省,地方支分部局,金沢地方検察庁,,,
法務省,地方支分部局,富山地方検察庁,,,
法務省,地方支分部局,福井地方検察庁,,,
法務省,地方支分部局,大阪地方検察庁,,,
法務省,地方支分部局,京都地方検察庁,,,
法務省,地方支分部局,神戸地方検察庁,,,
法務省,地方支分部局,奈良地方検察庁,,,
法務省,地方支分部局,大津地方検察庁,,,
法務省,地方支分部局,和歌山地方検察庁,,,
法務省,地方支分部局,広島地方検察庁,,,
法務省,地方支分部局,山口地方検察庁,,,
法務省,地方支分部局,鳥取地方検察庁,,,
法務省,地方支分部局,松江地方検察庁,,,
法務省,地方支分部局,岡山地方検察庁,,,
法務省,地方支分部局,高松地方検察庁,,,
法務省,地方支分部局,徳島地方検察庁,,,
法務省,地方支分部局,高知地方検察庁,,,
法務省,地方支分部局,松山地方検察庁,,,
法務省,地方支分部局,福岡地方検察庁,,,
法務省,地方支分部局,佐賀地方検察庁,,,
法務省,地方支分部局,長崎地方検察庁,,,
法務省,地方支分部局,熊本地方検察庁,,,
法務省,地方支分部局,大分地方検察庁,,,
法務省,地方支分部局,宮崎地方検察庁,,,
法務省,地方支分部局,鹿児島地方検察庁,,,
法務省,地方支分部局,那覇地方検察庁,,,
国土交通省,地方支分部局,航空局,国土交通省航空局,,
国土交通省,地方支分部局,東京航空局,国土交通省東京航空局,,
国土交通省,地方支分部局,大阪航空局,国土交通省大阪航空局,,
国土交通省,施設等機関,北海道地方測量部,国土地理院北海道地方測量部,,国土地理院
国土交通省,施設等機関,東北地方測量部,国土地理院東北地方測量部,,国土地理院
国土交通省,施設等機関,関東地方測量部,国土地理院関東地方測量部,,国土地理院
国土交通省,施設等機関,北陸地方測量部,国土地理院北陸地方測量部,,国土地理院
国土交通省,施設等機関,中部地方測量部,国土地理院中部地方測量部,,国土地理院
国土交通省,施設等機関,近畿地方測量部,国土地理院近畿地方測量部,,国土地理院
国土交通省,施設等機関,中国地方測量部,国土地理院中国地方測量部,,国土地理院
国土交通省,施設等機関,四国地方測量部,国土地理院四国地方測量部,,国土地理院
国土交通省,施設等機関,九州地方測量部,国土地理院九州地方測量部,,国土地理院
国土交通省,施設等機関,沖縄支所,国土地理院沖縄支所,,国土地理院
環境省,地方支分部局,北海道地方環境事務所,環境省北海道地方環境事務所,,
環境省,地方支分部局,東北地方環境事務所,環境省東北地方環境事務所,,
環境省,地方支分部局,関東地方環境事務所,環境省関東地方環境事務所,,
環境省,地方支分部局,中部地方環境事務所,環境省中部地方環境事務所,,
環境省,地方支分部局,近畿地方環境事務所,環境省近畿地方環境事務所,,
環境省,地方支分部局,中国四国地方環境事務所,環境省中国四国地方環境事務所,,
環境省,地方支分部局,九州地方環境事務所,環境省九州地方環境事務所,,
国土交通省,地方支分部局,第一管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第二管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第三管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第四管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第五管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第六管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第七管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第八管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第九管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第十管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,第十一管区海上保安部,,,海上保安庁
国土交通省,地方支分部局,東北地方整備局,国土交通省東北地方整備局,,
国土交通省,地方支分部局,関東地方整備局,国土交通省関東地方整備局,,
国土交通省,地方支分部局,北陸地方整備局,国土交通省北陸地方整備局,,
国土交通省,地方支分部局,中部地方整備局,国土交通省中部地方整備局,,
国土交通省,地方支分部局,近畿地方整備局,国土交通省近畿地方整備局,,
国土交通省,地方支分部局,中国地方整備局,国土交通省中国地方整備局,,
国土交通省,地方支分部局,四国地方整備局,国土交通省四国地方整備局,,
国土交通省,地方支分部局,九州地方整備局,国土交通省九州地方整備局,,
国土交通省,地方支分部局,北海道開発局,国土交通省北海道開発局,,
経済産業省,地方支分部局,北海道経済産業局,経済産業省北海道経済産業局,,
経済産業省,地方支分部局,東北経済産業局,経済産業省東北経済産業局,,
経済産業省,地方支分部局,関東経済産業局,経済産業省関東経済産業局,,
経済産業省,地方支分部局,中部経済産業局,経済産業省中部経済産業局,,
経済産業省,地方支分部局,近畿経済産業局,経済産業省近畿経済産業局,,
経済産業省,地方支分部局,中国経済産業局,経済産業省中国経済産業局,,
経済産業省,地方支分部局,四国経済産業局,経済産業省四国経済産業局,,
経済産業省,地方支分部局,九州経済産業局,経済産業省九州経済産業局,,
内閣府,地方支分部局,沖縄総合事務局,内閣府沖縄総合事務局,,内閣府(沖縄総合事務局)
国土交通省,内部部局,国土交通本省,,,
防衛省,地方支分部局,帯広防衛支局,,,
国土交通省,地方支分部局,札幌開発建設部,,,北海道開発局
国土交通省,地方支分部局,函館開発建設部,,,北海道開発局
国土交通省,地方支分部局,小樽開発建設部,,,北海道開発局
国土交通省,地方支分部局,室蘭開発建設部,,,北海道開発局
国土交通省,地方支分部局,旭川開発建設部,,,北海道開発局
国土交通省,地方支分部局,留萌開発建設部,,,北海道開発局
